resultId,raceId,driverId,constructorId,number,grid,position,positionText,positionOrder,points,laps,time,milliseconds,fastestLap,rank,fastestLapTime,fastestLapSpeed,statusId,positionDiff,status,year,circuitId,race_name,race_date,circuit_name,location,country,lat,lng,geometry,dob,driver_nat,driver_name,constr_name,constr_nat
27,19,1,1,22,9,5,5,5,4.0,56,+46.548,5525103,53,3,1:35.462,209.033,1,-4,Finished,2008,2,Malaysian Grand Prix,2008-03-23,Sepang International Circuit,Kuala Lumpur,Malaysia,2.76083,101.738,POINT (101.738 2.76083),1985-01-07,British,Lewis Hamilton,McLaren,British
57,20,1,1,22,3,13,13,13,0.0,56,\N,\N,25,19,1:35.520,203.969,11,10,+1 Lap,2008,3,Bahrain Grand Prix,2008-04-06,Bahrain International Circuit,Sakhir,Bahrain,26.0325,50.5106,POINT (50.5106 26.0325),1985-01-07,British,Lewis Hamilton,McLaren,British
69,21,1,1,22,5,3,3,3,6.0,66,+4.187,5903238,20,3,1:22.017,204.323,1,-2,Finished,2008,4,Spanish Grand Prix,2008-04-27,Circuit de Barcelona-Catalunya,Montmeló,Spain,41.57,2.26111,POINT (2.26111 41.57),1985-01-07,British,Lewis Hamilton,McLaren,British
109,23,1,1,22,3,1,1,1,10.0,76,2:00:42.742,7242742,71,6,1:18.510,153.152,1,-2,Finished,2008,6,Monaco Grand Prix,2008-05-25,Circuit de Monaco,Monte-Carlo,Monaco,43.7347,7.42056,POINT (7.42056 43.7347),1985-01-07,British,Lewis Hamilton,McLaren,British
158,25,1,1,22,13,10,10,10,0.0,70,+54.538,5564783,40,5,1:17.453,205.022,1,-3,Finished,2008,8,French Grand Prix,2008-06-22,Circuit de Nevers Magny-Cours,Magny Cours,France,46.8642,3.16361,POINT (3.16361 46.8642),1985-01-07,British,Lewis Hamilton,McLaren,British
169,26,1,1,22,4,1,1,1,10.0,60,1:39:09.440,5949440,16,3,1:32.817,199.398,1,-3,Finished,2008,9,British Grand Prix,2008-07-06,Silverstone Circuit,Silverstone,UK,52.0786,-1.01694,POINT (-1.01694 52.0786),1985-01-07,British,Lewis Hamilton,McLaren,British
189,27,1,1,22,1,1,1,1,10.0,67,1:31:20.874,5480874,17,2,1:16.039,216.552,1,0,Finished,2008,10,German Grand Prix,2008-07-20,Hockenheimring,Hockenheim,Germany,49.3278,8.56583,POINT (8.56583 49.3278),1985-01-07,British,Lewis Hamilton,McLaren,British
213,28,1,1,22,1,5,5,5,4.0,70,+23.048,5870115,15,3,1:21.493,193.533,1,4,Finished,2008,11,Hungarian Grand Prix,2008-08-03,Hungaroring,Budapest,Hungary,47.5789,19.2486,POINT (19.2486 47.5789),1985-01-07,British,Lewis Hamilton,McLaren,British
251,30,1,1,22,1,3,3,3,6.0,44,+10.539,4989933,20,2,1:48.135,233.175,1,2,Finished,2008,13,Belgian Grand Prix,2008-09-07,Circuit de Spa-Francorchamps,Spa,Belgium,50.4372,5.97139,POINT (5.97139 50.4372),1985-01-07,British,Lewis Hamilton,McLaren,British
291,32,1,1,22,2,3,3,3,6.0,61,+5.917,7042221,14,4,1:46.072,171.969,1,1,Finished,2008,15,Singapore Grand Prix,2008-09-28,Marina Bay Street Circuit,Marina Bay,Singapore,1.2914,103.864,POINT (103.864 1.2914),1985-01-07,British,Lewis Hamilton,McLaren,British
329,34,1,1,22,1,1,1,1,10.0,56,1:31:57.403,5517403,13,1,1:36.325,203.722,1,0,Finished,2008,17,Chinese Grand Prix,2008-10-19,Shanghai International Circuit,Shanghai,China,31.3389,121.22,POINT (121.22 31.3389),1985-01-07,British,Lewis Hamilton,McLaren,British
392,37,1,1,2,4,2,2,2,8.0,56,+17.557,5552487,22,1,1:36.701,206.355,1,-2,Finished,2007,2,Malaysian Grand Prix,2007-04-08,Sepang International Circuit,Kuala Lumpur,Malaysia,2.76083,101.738,POINT (101.738 2.76083),1985-01-07,British,Lewis Hamilton,McLaren,British
414,38,1,1,2,2,2,2,2,8.0,57,+2.360,5609875,18,2,1:34.270,206.674,1,0,Finished,2007,3,Bahrain Grand Prix,2007-04-15,Bahrain International Circuit,Sakhir,Bahrain,26.0325,50.5106,POINT (50.5106 26.0325),1985-01-07,British,Lewis Hamilton,McLaren,British
436,39,1,1,2,4,2,2,2,8.0,65,+6.790,5503020,20,2,1:22.876,202.205,1,-2,Finished,2007,4,Spanish Grand Prix,2007-05-13,Circuit de Barcelona-Catalunya,Montmeló,Spain,41.57,2.26111,POINT (2.26111 41.57),1985-01-07,British,Lewis Hamilton,McLaren,British
458,40,1,1,2,2,2,2,2,8.0,78,+4.095,6033424,28,2,1:15.372,159.528,1,0,Finished,2007,6,Monaco Grand Prix,2007-05-27,Circuit de Monaco,Monte-Carlo,Monaco,43.7347,7.42056,POINT (7.42056 43.7347),1985-01-07,British,Lewis Hamilton,McLaren,British
525,43,1,1,2,2,3,3,3,6.0,70,+32.153,5486353,39,4,1:16.587,207.340,1,1,Finished,2007,8,French Grand Prix,2007-07-01,Circuit de Nevers Magny-Cours,Magny Cours,France,46.8642,3.16361,POINT (3.16361 46.8642),1985-01-07,British,Lewis Hamilton,McLaren,British
547,44,1,1,2,1,3,3,3,6.0,59,+39.373,4942447,11,4,1:21.675,226.600,1,2,Finished,2007,9,British Grand Prix,2007-07-08,Silverstone Circuit,Silverstone,UK,52.0786,-1.01694,POINT (-1.01694 52.0786),1985-01-07,British,Lewis Hamilton,McLaren,British
575,45,1,1,2,10,9,9,9,0.0,59,\N,\N,29,3,1:33.401,198.421,11,-1,+1 Lap,2007,20,European Grand Prix,2007-07-22,Nürburgring,Nürburg,Germany,50.3356,6.9475,POINT (6.9475 50.3356),1985-01-07,British,Lewis Hamilton,McLaren,British
589,46,1,1,2,1,1,1,1,10.0,70,1:35:52.991,5752991,13,2,1:20.171,196.724,1,0,Finished,2007,11,Hungarian Grand Prix,2007-08-05,Hungaroring,Budapest,Hungary,47.5789,19.2486,POINT (19.2486 47.5789),1985-01-07,British,Lewis Hamilton,McLaren,British
658,49,1,1,2,4,4,4,4,5.0,44,+23.615,4862681,41,4,1:48.215,233.002,1,0,Finished,2007,13,Belgian Grand Prix,2007-09-16,Circuit de Spa-Francorchamps,Spa,Belgium,50.4372,5.97139,POINT (5.97139 50.4372),1985-01-07,British,Lewis Hamilton,McLaren,British
717,51,1,1,2,1,\N,R,19,0.0,30,\N,\N,22,19,1:43.131,190.278,20,18,Spun off,2007,17,Chinese Grand Prix,2007-10-07,Shanghai International Circuit,Shanghai,China,31.3389,121.22,POINT (121.22 31.3389),1985-01-07,British,Lewis Hamilton,McLaren,British
7580,2,1,1,1,12,7,7,7,1.0,31,+1:00.733,4312825,17,11,1:39.141,201.276,1,-5,Finished,2009,2,Malaysian Grand Prix,2009-04-05,Sepang International Circuit,Kuala Lumpur,Malaysia,2.76083,101.738,POINT (101.738 2.76083),1985-01-07,British,Lewis Hamilton,McLaren,British
7599,3,1,1,1,9,6,6,6,3.0,56,+1:11.866,7135351,39,12,1:54.665,171.138,1,-3,Finished,2009,17,Chinese Grand Prix,2009-04-19,Shanghai International Circuit,Shanghai,China,31.3389,121.22,POINT (121.22 31.3389),1985-01-07,British,Lewis Hamilton,McLaren,British
7617,4,1,1,1,5,4,4,4,5.0,57,+22.096,5530278,13,6,1:34.915,205.269,1,-1,Finished,2009,3,Bahrain Grand Prix,2009-04-26,Bahrain International Circuit,Sakhir,Bahrain,26.0325,50.5106,POINT (50.5106 26.0325),1985-01-07,British,Lewis Hamilton,McLaren,British
7642,5,1,1,1,14,9,9,9,0.0,65,\N,\N,29,9,1:23.839,199.883,11,-5,+1 Lap,2009,4,Spanish Grand Prix,2009-05-10,Circuit de Barcelona-Catalunya,Montmeló,Spain,41.57,2.26111,POINT (2.26111 41.57),1985-01-07,British,Lewis Hamilton,McLaren,British
7665,6,1,1,1,19,12,12,12,0.0,77,\N,\N,65,8,1:15.706,158.824,11,-7,+1 Lap,2009,6,Monaco Grand Prix,2009-05-24,Circuit de Monaco,Monte-Carlo,Monaco,43.7347,7.42056,POINT (7.42056 43.7347),1985-01-07,British,Lewis Hamilton,McLaren,British
7709,8,1,1,1,18,16,16,16,0.0,59,\N,\N,24,18,1:22.576,224.128,11,-2,+1 Lap,2009,9,British Grand Prix,2009-06-21,Silverstone Circuit,Silverstone,UK,52.0786,-1.01694,POINT (-1.01694 52.0786),1985-01-07,British,Lewis Hamilton,McLaren,British
7731,9,1,1,1,5,18,18,18,0.0,59,\N,\N,46,15,1:35.367,194.331,11,13,+1 Lap,2009,20,German Grand Prix,2009-07-12,Nürburgring,Nürburg,Germany,50.3356,6.9475,POINT (6.9475 50.3356),1985-01-07,British,Lewis Hamilton,McLaren,British
7734,10,1,1,1,4,1,1,1,10.0,70,1:38:23.876,5903876,16,4,1:22.479,191.219,1,-3,Finished,2009,11,Hungarian Grand Prix,2009-07-26,Hungaroring,Budapest,Hungary,47.5789,19.2486,POINT (19.2486 47.5789),1985-01-07,British,Lewis Hamilton,McLaren,British
7792,12,1,1,1,12,\N,R,19,0.0,0,\N,\N,\N,\N,\N,\N,4,7,Collision,2009,13,Belgian Grand Prix,2009-08-30,Circuit de Spa-Francorchamps,Spa,Belgium,50.4372,5.97139,POINT (5.97139 50.4372),1985-01-07,British,Lewis Hamilton,McLaren,British
7814,14,1,1,1,1,1,1,1,10.0,61,1:56:06.337,6966337,36,2,1:48.345,168.561,1,0,Finished,2009,15,Singapore Grand Prix,2009-09-27,Marina Bay Street Circuit,Marina Bay,Singapore,1.2914,103.864,POINT (103.864 1.2914),1985-01-07,British,Lewis Hamilton,McLaren,British
